initial
X	Y
1.4025 2.39528999721e-06
1.4175 2.66766700079e-06
1.4325 2.969680312e-06
1.4475 3.30439799839e-06
1.4625 3.67518807404e-06
1.4775 4.08574590597e-06
1.4925 4.54012392513e-06
1.5075 5.04276381597e-06
1.5225 5.59853136986e-06
1.5375 6.21275419921e-06
1.5525 6.89126252171e-06
1.5675 7.64043323685e-06
1.5825 8.46723753066e-06
1.5975 9.3792922583e-06
1.6125 1.03849153692e-05
1.6275 1.14931856546e-05
1.6425 1.27140071129e-05
1.6575 1.40581782455e-05
1.6725 1.55374666119e-05
1.6875 1.71646889911e-05
1.7025 1.89537975139e-05
1.7175 2.09199721506e-05
1.7325 2.30797199565e-05
1.7475 2.54509814974e-05
1.7625 2.80532448994e-05
1.7775 3.09076679847e-05
1.7925 3.40372089794e-05
1.8075 3.74667662971e-05
1.8225 4.12233279281e-05
1.8375 4.53361309803e-05
1.8525 4.98368319456e-05
1.8675 5.4759688282e-05
1.8825 6.0141751928e-05
1.8975 6.60230753848e-05
1.9125 7.24469310249e-05
1.9275 7.94600443051e-05
1.9425 8.71128415862e-05
1.9575 9.54597132755e-05
1.9725 0.000104559293035
1.9875 0.000114474753813
2.0025 0.000125274121464
2.0175 0.000137030606771
2.0325 0.000149822956644
2.0475 0.000163735825341
2.0625 0.000178860166527
2.0775 0.00019529364701
2.0925 0.000213141083004
2.1075 0.00023251489976
2.1225 0.000253535615432
2.1375 0.000276332350002
2.1525 0.000301043360131
2.1675 0.000327816600755
2.1825 0.000356810314259
2.1975 0.000388193648024
2.2125 0.00042214730114
2.2275 0.00045886420103
2.2425 0.000498550210732
2.2575 0.000541424867498
2.2725 0.000587722153384
2.2875 0.000637691298415
2.3025 0.000691597616858
2.3175 0.000749723377101
2.3325 0.00081236870554
2.3475 0.000879852524792
2.3625 0.000952513526514
2.3775 0.00103071117895
2.3925 0.0011148267693
2.4075 0.00120526448078
2.4225 0.00130245250434
2.4375 0.00140684418457
2.4525 0.0015189191995
2.4675 0.00163918477361
2.4825 0.00176817692336
2.4975 0.00190646173439
2.5125 0.00205463666915
2.5275 0.00221333190388
2.5425 0.00238321169335
2.5575 0.00256497576179
2.5725 0.00275936071799
2.5875 0.0029671414927
2.6025 0.00318913279577
2.6175 0.00342619059053
2.6325 0.00367921358267
2.6475 0.00394914472038
2.6625 0.00423697270253
2.6775 0.00454373349114
2.6925 0.00487051182439
2.7075 0.00521844272573
2.7225 0.00558871300492
2.7375 0.00598256274588
2.7525 0.00640128677649
2.7675 0.0068462361149
2.7825 0.0073188193866
2.7975 0.00782050420626
2.8125 0.00835281851808
2.8275 0.00891735188808
2.8425 0.00951575674124
2.8575 0.0101497495366
2.8725 0.0108211118723
2.8875 0.011531691514
2.9025 0.0122834033364
2.9175 0.0130782301728
2.9325 0.0139182235605
2.9475 0.0148055043769
2.9625 0.0157422633542
2.9775 0.0167307614663
2.9925 0.0177733301757
3.0075 0.0188723715344
3.0225 0.0200303581257
3.0375 0.0212498328399
3.0525 0.0225334084731
3.0675 0.0238837671392
3.0825 0.0253036594858
3.0975 0.0267959037044
3.1125 0.0283633843247
3.1275 0.0300090507846
3.1425 0.0317359157655
3.1575 0.0335470532841
3.1725 0.0354455965329
3.1875 0.037434735459
3.2025 0.0395177140753
3.2175 0.041697827494
3.2325 0.0439784186772
3.2475 0.0463628748964
3.2625 0.0488546238954
3.2775 0.0514571297508
3.2925 0.0541738884249
3.3075 0.0570084230077
3.3225 0.0599642786433
3.3375 0.0630450171392
3.3525 0.0662542112565
3.3675 0.0695954386797
3.3825 0.0730722756675
3.3975 0.0766882903846
3.4125 0.0804470359181
3.4275 0.0843520429809
3.4425 0.088406812308
3.4575 0.0926148067504
3.4725 0.096979443075
3.4875 0.101504083478
3.5025 0.106192026822
3.5175 0.111046499608
3.5325 0.116070646698
3.5475 0.12126752179
3.5625 0.126640077682
3.5775 0.132191156323
3.5925 0.137923478671
3.6075 0.143839634396
3.6225 0.149942071421
3.6375 0.156233085348
3.6525 0.162714808775
3.6675 0.169389200546
3.6825 0.176258034943
3.6975 0.183322890858
3.7125 0.190585140977
3.7275 0.19804594099
3.7425 0.205706218883
3.7575 0.213566664319
3.7725 0.221627718156
3.7875 0.229889562136
3.8025 0.238352108771
3.8175 0.247014991466
3.8325 0.255877554925
3.8475 0.264938845851
3.8625 0.274197604011
3.8775 0.283652253668
3.8925 0.293300895446
3.9075 0.303141298648
3.9225 0.313170894068
3.9375 0.323386767338
3.9525 0.333785652835
3.9675 0.344363928203
3.9825 0.355117609502
3.9975 0.366042347032
4.0125 0.377133421862
4.0275 0.388385743094
4.0425 0.399793845892
4.0575 0.411351890309
4.0725 0.423053660926
4.0875 0.434892567352
4.1025 0.446861645579
4.1175 0.458953560234
4.1325 0.471160607746
4.1475 0.483474720423
4.1625 0.495887471486
4.1775 0.508390081043
4.1925 0.520973423024
4.2075 0.533628033082
4.2225 0.546344117462
4.2375 0.559111562838
4.2525 0.571919947111
4.2675 0.584758551165
4.2825 0.597616371574
4.2975 0.610482134242
4.3125 0.62334430896
4.3275 0.63619112486
4.3425 0.649010586755
4.3575 0.661790492315
4.3725 0.674518450076
4.3875 0.68718189823
4.4025 0.69976812417
4.4175 0.712264284747
4.4325 0.724657427203
4.4475 0.736934510726
4.4625 0.749082428589
4.4775 0.761088030814
4.4925 0.77293814732
4.5075 0.784619611484
4.5225 0.796119284074
4.5375 0.807424077482
4.5525 0.818520980201
4.5675 0.829397081487
4.5825 0.840039596135
4.5975 0.850435889299
4.6125 0.86057350131
4.6275 0.870440172394
4.6425 0.880023867252
4.6575 0.88931279941
4.6725 0.898295455285
4.6875 0.906960617887
4.7025 0.915297390109
4.7175 0.923295217506
4.7325 0.930943910527
4.7475 0.938233666117
4.7625 0.945155088631
4.7775 0.951699209998
4.7925 0.957857509067
4.8075 0.963621930091
4.8225 0.968984900279
4.8375 0.973939346369
4.8525 0.978478710171
4.8675 0.982596963031
4.8825 0.986288619172
4.8975 0.989548747869
4.9125 0.992372984426
4.9275 0.99475753991
4.9425 0.996699209626
4.9575 0.998195380288
4.9725 0.999244035885
4.9875 0.999843762206
5.0025 0.99999375002
5.0175 0.99969379689
5.0325 0.998944307636
5.0475 0.997746293419
5.0625 0.99610136947
5.0775 0.994011751461
5.0925 0.99148025053
5.1075 0.988510266982
5.1225 0.985105782673
5.1375 0.98127135212
5.1525 0.977012092345
5.1675 0.972333671494
5.1825 0.967242296273
5.1975 0.961744698223
5.2125 0.955848118896
5.2275 0.949560293958
5.2425 0.942889436289
5.2575 0.935844218109
5.2725 0.928433752207
5.2875 0.920667572309
5.3025 0.912555612662
5.3175 0.904108186878
5.3325 0.895335966125
5.3475 0.886249956694
5.3625 0.876861477048
5.3775 0.867182134387
5.3925 0.857223800816
5.4075 0.846998589179
5.4225 0.836518828618
5.4375 0.82579703995
5.4525 0.814845910898
5.4675 0.80367827127
5.4825 0.792307068148
5.4975 0.780745341137
5.5125 0.769006197762
5.5275 0.757102789065
5.5425 0.745048285464
5.5575 0.732855852936
5.5725 0.720538629593
5.5875 0.708109702682
5.6025 0.695582086097
5.6175 0.682968698425
5.6325 0.670282341593
5.6475 0.65753568016
5.6625 0.644741221286
5.6775 0.631911295442
5.6925 0.619058037869
5.7075 0.60619337085
5.7225 0.593328986805
5.7375 0.580476332246
5.7525 0.567646592618
5.7675 0.554850678047
5.7825 0.542099210007
5.7975 0.529402508933
5.8125 0.51677058278
5.8275 0.504213116545
5.8425 0.491739462753
5.8575 0.479358632912
5.8725 0.467079289934
5.8875 0.454909741518
5.9025 0.442857934493
5.9175 0.430931450109
5.9325 0.419137500252
5.9475 0.407482924601
5.9625 0.395974188661
5.9775 0.384617382708
5.9925 0.373418221571
6.0075 0.362382045269
6.0225 0.351513820454
6.0375 0.340818142639
6.0525 0.330299239183
6.0675 0.319960973
6.0825 0.309806846965
6.0975 0.299840008975
6.1125 0.290063257639
6.1275 0.28047904856
6.1425 0.271089501172
6.1575 0.261896406094
6.1725 0.252901232968
6.1875 0.244105138746
6.2025 0.235508976377
6.2175 0.227113303878
6.2325 0.218918393726
6.2475 0.210924242555
6.2625 0.203130581118
6.2775 0.195536884467
6.2925 0.188142382326
6.3075 0.180946069623
6.3225 0.173946717139
6.3375 0.167142882255
6.3525 0.160532919745
6.3675 0.154114992603
6.3825 0.147887082869
6.3975 0.141847002419
6.4125 0.135992403694
6.4275 0.130320790353
6.4425 0.124829527809
6.4575 0.119515853636
6.4725 0.114376887819
6.4875 0.109409642831
6.5025 0.104611033513
6.5175 0.0999778867447
6.5325 0.0955069508858
6.5475 0.0911949049718
6.5625 0.0870383676562
6.5775 0.0830339058819
6.5925 0.0791780432729
6.6075 0.0754672682381
6.6225 0.0718980417766
6.6375 0.0684668049801
6.6525 0.0651699862255
6.6675 0.0620040080536
6.6825 0.0589652937314
6.6975 0.0560502734946
6.7125 0.0532553904717
6.7275 0.0505771062867
6.7425 0.048011906344
