final
X	Y
7.8825 0.598391246413
7.8975 0.600472446775
7.9125 0.602553684479
7.9275 0.604634951221
7.9425 0.60671623867
7.9575 0.608797538463
7.9725 0.61087884221
7.9875 0.612960141488
8.0025 0.615041427838
8.0175 0.617122692769
8.0325 0.619203927753
8.0475 0.621285124221
8.0625 0.623366273568
8.0775 0.625447367146
8.0925 0.627528396263
8.1075 0.629609352184
8.1225 0.631690226126
8.1375 0.63377100926
8.1525 0.635851692705
8.1675 0.637932267529
8.1825 0.640012724748
8.1975 0.64209305532
8.2125 0.644173250148
8.2275 0.646253300074
8.2425 0.648333195881
8.2575 0.650412928288
8.2725 0.652492487947
8.2875 0.654571865446
8.3025 0.6566510513
8.3175 0.658730035954
8.3325 0.66080880977
8.3475 0.662887362971
8.3625 0.664965685209
8.3775 0.66704376194
8.3925 0.669121542039
8.4075 0.671198628387
8.4225 0.673271090961
8.4375 0.675295946569
8.4525 0.676792929764
8.4675 0.673524979263
8.4825 0.644895323117
8.4975 0.550280961369
8.5125 0.382848330777
8.5275 0.208491559707
8.5425 0.0918741879312
8.5575 0.0354560494927
8.5725 0.0128499125017
8.5875 0.00454584836191
8.6025 0.00159797355691
8.6175 0.000564153578924
8.6325 0.000202824162079
8.6475 7.63820758159e-05
8.6625 3.18373687054e-05
8.6775 1.58540255825e-05
8.6925 9.85445707205e-06
8.7075 7.3681282726e-06
8.7225 6.13970030937e-06
8.7375 5.38127036392e-06
8.7525 4.81589702922e-06
8.7675 4.34468453726e-06
8.7825 3.93090283616e-06
8.7975 3.5596444827e-06
8.8125 3.2237707046e-06
8.8275 2.91900722743e-06
8.8425 2.64222512702e-06
8.8575 2.39083093202e-06
8.8725 2.16254357529e-06
8.8875 1.95530675821e-06
8.9025 1.76724918173e-06
8.9175 1.59666213015e-06
8.9325 1.44198374143e-06
8.9475 1.30178620739e-06
8.9625 1.17476455371e-06
8.9775 1.05972649029e-06
8.9925 9.55583117075e-07
9.0075 8.61340375929e-07
9.0225 7.76091177715e-07
9.0375 6.99008149665e-07
9.0525 6.29336955511e-07
9.0675 5.66390145448e-07
9.0825 5.09541496377e-07
9.0975 4.58220805712e-07
9.1125 4.11909104687e-07
9.1275 3.70134259416e-07
9.1425 3.32466930234e-07
9.1575 2.9851686191e-07
9.1725 2.67929479255e-07
9.1875 2.40382764488e-07
9.2025 2.15584394401e-07
9.2175 1.93269116973e-07
9.2325 1.73196348553e-07
9.2475 1.55147974119e-07
9.2625 1.38926334411e-07
9.2775 1.24352384955e-07
9.2925 1.11264013088e-07
9.3075 9.95145001797e-08
9.3225 8.89711171744e-08
9.3375 7.95138425232e-08
9.3525 7.10341923928e-08
9.3675 6.34341538275e-08
9.3825 5.66252122687e-08
9.3975 5.05274655073e-08
9.4125 4.50688167706e-08
9.4275 4.01842402269e-08
9.4425 3.58151127231e-08
9.4575 3.19086060733e-08
9.4725 2.84171346728e-08
9.4875 2.52978536374e-08
9.5025 2.25122030632e-08
9.5175 2.0025494363e-08
9.5325 1.78065349715e-08
9.5475 1.58272880204e-08
9.5625 1.40625638715e-08
9.5775 1.2489740654e-08
9.5925 1.10885112003e-08
9.6075 9.8406539922e-09
9.6225 8.72982593688e-09
9.6375 7.74137497992e-09
9.6525 6.86217073498e-09
9.6675 6.08045146956e-09
9.6825 5.3856859314e-09
9.6975 4.76844863414e-09
9.7125 4.22030734351e-09
9.7275 3.73372161734e-09
9.7425 3.30195135591e-09
9.7575 2.91897441293e-09
9.7725 2.57941240377e-09
9.7875 2.27846392619e-09
9.8025 2.01184448047e-09
9.8175 1.77573244194e-09
9.8325 1.56672049825e-09
9.8475 1.3817720188e-09
9.8625 1.21818187337e-09
9.8775 1.07354126222e-09
9.8925 9.45706161451e-10
9.9075 8.32769024922e-10
9.9225 7.33033418188e-10
9.9375 6.44991290988e-10
9.9525 5.67302623111e-10
9.9675 4.98777204057e-10
